"Commute.ID","FPM.Total","BC","OC","WSOC","PNC","pbPAH","B","S","As","Mo","Pb","Al","Ca","K","Ba","Ni","V","Ce","Fe","Zn","Cu","Mn","Cr","Na","Mg","U","P","Ti","Cd","Co","Sb","NOISE"
"SA21",14.15,2.02629,7.45,10.738,11273,74.5266678976692,5.098147374,208.4950658,0.445252435,25.4819902,1.13408483,38.30219898,31.11824471,30.40264456,8.882502576,0.929981561,0.35641577,0.075401227,134.0281108,10.4771788,185.1798514,1.402767718,1.298737602,76.58342616,12.4275955,0.003342634,3.536200173,6.975274058,0.048593463,0.029203708,1.800367061,66.0895
"SH15",14.17,3.60383,8.55,6.799,10110.2,111,4.412488199,115.8920492,0.436861659,12.17565895,0.238012756,20.29323304,22.54942738,14.84048899,4.900100076,0.844009314,0.316276513,0.056170757,84.40787035,2.051465129,43.85468318,0.754132627,1.178675663,5.97776557,2.849596763,0.00074737,3.884976645,1.825981914,0.011509298,0.008936256,0.552886608,70.4907
"SH52",14.64,2.65957,8.48,7.2948,8901.05,97.3868,3.691578457,88.12838934,0.323782889,5.104957372,0.26565025,22.63389793,38.73907134,13.79908393,19.7499303,0.942013733,0.137531892,0.025897122,130.7584108,9.231351609,77.96270507,1.280134329,1.315540769,6.671889951,3.180485382,0.002078343,2.758621726,7.085032064,0.012113168,0.009973913,1.48942624,68.5463
"SA01",15,3.69211,0.11,2.5879,20548.2,88.2263,4.548355896,345.5545318,0.3182238,2.436129651,1.116219667,67.59827985,58.61780448,58.12586131,22.44946836,0.866932855,0.556156758,0.216916286,234.2587311,13.01676763,72.01984827,2.325719052,1.210688841,70.47943845,22.34237231,0.006264925,4.660526287,15.86233501,0.032738068,0.041798928,4.791349865,69.4202
"SH46",16.23,2.42115,6.16,3.615,5221.96,88.9387,5.503447866,284.3834605,0.154539718,1.572455173,0.266188003,22.17678384,87.41502551,10.67369621,6.282553542,0.943920644,0.206918622,0.025949546,71.27659552,2.294311511,24.07131813,0.92163252,1.318203807,16.63363376,3.186923611,0.002760449,2.500867167,27.07812125,0.006650772,0.009994103,0.648051966,66.43
"SH60",16.4,3.05515,5.16,3.2897,8523.79629203202,93.4672,7.051473124,137.9316515,0.9354747,10.38964594,0.261064143,40.55995537,34.36742829,19.38959384,14.09687953,0.925751088,0.35880751,0.086241487,164.8776741,6.192842488,86.22643482,2.430358378,1.292829663,6.556708424,3.125578426,0.003710591,4.57094411,8.068187897,0.014583404,0.021170665,2.175275127,68.8712
"SA07",16.47,3.00421813605712,6.62,2.8486,5887.61,82.437,7.994524255,586.4980619,0.595455435,5.873922473,1.760158743,59.99606283,54.82746269,48.59552908,42.99375752,0.832328204,0.265695572,0.08328067,271.4942224,21.20104538,92.00624211,2.365076402,1.162362763,39.70649551,10.18857974,0.008254527,5.817606435,40.26357258,0.034357228,0.101311504,4.198459913,62.4252
"SA42",17.71,2.35052,7.37,14.712,10352.4,85.3866264119654,2.904819781,65.47116429,0.377019102,5.853439614,0.275398661,8.515855844,8.474569907,4.798373404,3.005131576,0.976582257,0.443998302,0.026847454,25.83967638,2.373699452,23.37294661,0.237999795,1.363816395,6.916724375,3.297197784,0.000864763,2.528086497,2.112798414,0.0022873,0.01033992,0.479330533,67.3121
"SH54",18.07,2.2075,7.11,3.6386,7217.83,96.3008,1.623036763,68.29994988,0.147065825,1.938744747,0.305559516,11.96783257,9.402680008,5.32387722,2.103290149,1.083534689,0.287869523,0.029787708,30.49084598,2.633660071,20.94538846,0.380803698,1.513177576,7.674223791,3.658297238,0.000959469,0.489629959,2.344185915,0.002537798,0.011472318,0.270752964,67.1709
"SA58",18.27,3.50148,7.43,16.2281,11375.4036500298,79.4448,10.26628285,268.7161902,1.022346094,7.363727517,0.274723235,22.81921392,30.11327543,4.786605207,7.160716123,0.974187151,0.251981165,0.364049345,90.82976358,2.367877862,53.1815187,1.526987928,1.360471582,6.89976084,3.289111279,0.002201453,4.536594161,2.107616694,0.021600391,0.010314561,1.348498421,62.3856
"SA05",22.56,4.5071,8.52,14.7017,20824.9,95.6641,5.221729467,854.4847073,2.235387391,5.532139441,2.679415647,82.05188309,113.4497853,41.22842526,27.65037185,1.046733003,0.240995972,0.861036144,381.5221178,19.53698654,75.61516586,3.71979473,1.461783296,33.54768326,23.47075441,0.006376883,9.109284256,16.99885581,0.079035709,0.050290358,4.470989529,66.6716
"SA04",22.99,3.2401,8.15,3.0947,17115.9,87.1119,8.579714425,1590.186989,0.790827882,6.074011252,1.627770992,80.52340119,112.347782,75.95895335,25.05734993,0.866652634,0.599016295,0.180048873,313.4443682,17.48081289,82.30609533,3.716223761,1.210297507,41.22726369,22.0426289,0.017514668,8.848156748,13.38848942,0.082471895,0.069236113,2.727548632,67.4017
"SA55",24.18,3.81371,9.44,4.3009,13194,112.039,12.03672937,80.36284154,0.30625753,1.21824534,0.344546377,27.7940634,72.88646739,6.003159801,1.442957163,3.38238041,0.619532684,0.033588373,14.7089161,2.969693255,4.112724652,0.122917777,1.706246486,8.653391102,4.125065626,0.00108189,2.146554606,2.643284596,0.0028616,0.01293609,0.183981516,65.8421
"SH21",24.26,4.32884,8.27,3.2125,16864.6,93.1364,8.128713626,1012.547808,1.851812086,24.06807669,2.238681809,88.62356471,109.9478801,78.31754337,55.68086038,0.944086827,0.415478013,0.303969095,671.108504,19.34950294,267.1615486,6.406368305,1.318435885,22.72238163,27.44596958,0.008887552,13.03352394,17.16758217,0.066291582,0.100990137,6.873079516,69.3405
"SA16",43.74,5.73204,0.13,9.3454,25143.3583342978,89.3981,4.597024181,55.13992551,0.958429391,4.945964476,0.702905745,7.576756956,7.386327518,38.91098511,5.248961344,0.851176695,0.300433723,0.060649394,73.58234013,2.068886301,35.12738722,1.007342276,1.188685052,483.5538452,2.87379572,0.000753716,5.384796578,3.739239426,0.03710415,0.009012143,0.850582836,67.7377
