"Commute.ID","FPM.Total","BC","OC","WSOC","PNC","pbPAH","B","S","As","Mo","Pb","Al","Ca","K","Ba","Ni","V","Ce","Fe","Zn","Cu","Mn","Cr","Na","Mg","U","P","Ti","Cd","Co","Sb","NOISE"
"HE02",33.343,13.98843113,32.838,4.272,46954.47144,0.1699329032,0.00816868,0.25212079,0.00064235,0.0012207,0.01303176,0.04279391,0.06075032,0.05695962,0.03117336,0.00078543,0.00057085,0.00031563,0.39421746,0.13225384,0.25442041,0.0037049,0.0014476,0.01424454,0.01200659,5.84e-06,0.00876741,0.01042187,6.576e-05,7.174e-05,0.00374186,73.85348927
"HE07",37.092,10.08041945,26.389,3.653,68950.93903,0.2065706737,0.00590154,0.36035048,0.00132334,0.00104158,0.00167992,0.0196234,0.05176719,0.06454211,0.01510413,0.00040933,0.00039284,0.00012655,0.24615633,0.0130449,0.01736414,0.00280823,0.0005026,0.03567619,0.00771841,3.57e-06,0.01049707,0.00821736,6.973e-05,3.711e-05,0.00273904,73.1495422929901
"HE37",38.693,12.15429098,25.392,3.4,27767.85412,0.1332163892,0.01595376,1.54124804,0.0010371,0.00128313,0.00167321,0.02767491,0.37473159,0.06429694,0.03609632,0.00147706,0.00053892,0.00016417,0.45925697,0.09252786,0.03688749,0.00470173,0.00307303,0.03579552,0.01328616,8.12e-06,0.01449308,0.02660396,6.414e-05,6.921e-05,0.0052131,76.90493526
"HE01",38.72,6.867854877,20.279,5.672,64963.38281,0.1273237221,0.00109685,0.3648352,0.00034552,0.00061904,0.00116783,0.01553337,0.0256494,0.0194576,0.00492254,0.00037747,0.00024022,3.565e-05,0.09326804,0.00613663,0.00843713,0.00107343,0.00018551,0.0656749,0.00830743,2.97e-06,0.00988032,0.00468287,2.563e-05,2.189e-05,0.00082387,76.00906705
"SA32",65.49,4.35427,27.97,12.693,53154.3,0.0919408403224434,0.000780737459,0.05154065206,0.000253160191,0.001906392479,0.00079956203,0.05905976966,0.02981194019,0.0206324512,0.01707456441,0.0024310604,0.000678021186,7.0173637e-05,0.2994231736,0.002083940613,0.03205110186,0.003479907219,0.001197334554,0.02612681879,0.007998126863,6.36739e-06,0.007412349813,0.02288981434,2.1204997e-05,6.0860954e-05,0.002795296613,65.9486
"AS28",74.017,4.057246237,13.804,39.198,18659.44452,0.08221515562,0.00564099,2.78477021,0.00142347,0.00347986,0.00318772,0.2648783,0.22508039,0.08560333,0.12474336,0.0074281,0.00183009,0.00031008,1.35887241,0.02839741,0.11328546,0.01201658,0.00737701,0.02057403,0.02697873,1.734e-05,0.02610797,0.0551419,0.00024593,0.00016892,0.01711302,72.06592603
"HE42",85.513,5.014120165,15.665,3.4,17230.31928,0.1153188811,0.02328586,1.39661781,0.00118456,0.00155758,0.00297081,0.15304322,0.11201324,0.13258976,0.06156559,0.023089,0.00712369,0.00022556,0.59508918,0.02153894,0.09047964,0.00555569,0.00172618,0.01999448,0.03494427,9.82e-06,0.01272267,0.03223792,0.00012236,7.289e-05,0.01096566,69.57535359
"SH22",21.5039201458915,6.97853,9.06,3.0679,32385.4,0.119444,0.005663527727,0.2016644618,0.000688551398,0.01262062187,0.000863194065,0.02954922047,0.09171308752,0.0295184856,0.03451317793,0.000892842687,0.000443281647,0.000163913438,0.3641277807,0.008701625265,0.07626704052,0.002769125397,0.001246872432,0.006323631959,0.01225295574,5.302612e-06,0.005695854948,0.01298790413,5.3376896e-05,5.1207951e-05,0.003517943221,71.6024
"SA20",6.95,1.35057,7.1,3.7548,12678.9,0.0542494034157073,0.002047239035,0.3390898247,0.000616602792,0.001743381626,0.001412034592,0.06318031048,0.05021112649,0.04124747078,0.01421700038,0.001001758486,0.000243966453,0.002338609768,0.1992017504,0.006613888285,0.04500293678,0.001961675196,0.001398975495,0.02010342999,0.01945899814,5.89429e-06,0.005440484265,0.007823831563,5.5701626e-05,5.2113681e-05,0.002262395256,63.2657
"SH33",8.31,1.25131,5.64,3.0694,6823.1,0.05829842480248,0.003362254743,0.1188072261,0.000204918433,0.002829841278,0.00025717926,0.01582706658,0.00791392234,0.004480929994,0.007253792552,0.00091197503,0.000175294538,2.5071321e-05,0.06813366789,0.002216663894,0.0285833454,0.000589345491,0.001273591127,0.006459138358,0.003079066842,8.07553e-07,0.002737309425,0.001973023145,6.473113e-06,9.655867e-06,0.001077866118,66.179945588388
"SH27",8.53,1.29302,5.83,3.0849,4346.96,0.0805398,0.002739508355,0.1472570576,0.000147421793,0.008952874072,0.000266986943,0.02181811641,0.008215724464,0.0432792059,0.004971638992,0.000946753739,0.000214076882,2.6027431e-05,0.05446370014,0.002301197686,0.07490196747,0.000563254951,0.00132216028,0.5719518238,0.003196488883,6.047846e-06,0.001817869139,0.002048265553,1.7634426e-05,1.00241e-05,0.000561549937,62.0002
"SA17",8.77,1.72752,8.02,3.4644,8799.46000000001,0.073825429645831,0.000801940791,0.1576265809,0.000136110706,0.01059166729,0.00026824989,0.02685019572,0.01899244692,0.0150030444,0.01469281514,0.000951232233,0.001063534674,0.000113937584,0.1345475128,0.0023120832,0.1196713157,0.001180168076,0.001328414586,0.08093179038,0.008578463204,8.42315e-07,0.00250483728,0.01396694232,1.5853318e-05,1.0071517e-05,0.00127061658,65.9411
"SH31",8.79,1.37846,4.5,3.281,8369.45,0.0708263055524774,0.002972786041,0.4967719235,0.000172153427,0.002237815396,0.000677692285,0.03191938626,0.05041988012,0.02411293785,0.1011538596,0.002069334292,0.000308604312,5.9677763e-05,0.2684049364,0.01188310775,0.1093663504,0.002395479625,0.001273591127,0.02323751124,0.008511568236,6.251271e-06,0.002396492287,0.01278934036,1.9228234e-05,2.7451428e-05,0.004079335191,66.8101
"SH38",9.3,2.00141,5.48,3.1183,12450.4,0.0822701,0.001519021341,0.06696098545,0.000302053233,0.004714034129,0.00026358586,0.01398946903,0.008111066313,0.004592554585,0.006594487467,0.002198706633,0.000132889564,2.5695874e-05,0.1165258752,0.002271883279,0.04965035484,0.000740333233,0.001305317596,0.03909162183,0.003155769575,8.2767e-07,0.002073499472,0.002022173188,2.18919e-06,9.896405e-06,0.000824019242,66.2263
"SH49",9.7,1.82778,5.59,3.0206,7874.21,0.0890886,0.002441737966,0.1524472235,0.000331345333,0.002118790316,0.00829300322,0.01429750044,0.06976770363,0.004179989693,0.006158973843,0.000850726575,0.000228989534,7.5848645e-05,0.07603966243,0.004702898028,0.0280713132,0.000723535601,0.00118805645,0.03208999672,0.002872275997,7.53318e-07,0.005189744054,0.001840514451,1.992527e-06,9.007377e-06,0.000660525573,63.8523
"SH13",12.47,1.94922,8.51,2.9131,5573.19,0.0704265,0.004050038568,0.2152182961,0.000166339803,0.01504926156,0.000247849767,0.05029583711,0.05760228976,0.02856030694,0.01401966889,0.00087889202,0.000276565368,0.000195583461,0.1460823669,0.002136251698,0.1454613881,0.001413902377,0.00122739005,0.02232788138,0.01135642372,4.334989e-06,0.004100165516,0.009741226115,2.3917785e-05,2.0892954e-05,0.001555468868,69.6418
"SA36",12.65,1.04507,0.13,3.1486,4493.39,0.0923029,0.00150120063,0.224719922,7.3515186e-05,0.0112480901,0.000620518083,0.0375273328,0.04240974915,0.02175281937,0.004555160075,0.000884984021,0.000211350853,2.4329305e-05,0.07066994481,0.005844826039,0.09516402577,0.0008066238,0.00123589765,0.02640057081,0.006889357534,7.83653e-07,0.002399018246,0.006921867032,1.2512583e-05,9.37009e-06,0.000572912957,65.3116587995242
"SH19",12.7,3.0756049835321,6.05,3.3036,13153.1,0.0691221,0.003231239127,0.5126098403,0.000492332166,0.001660312453,0.000813877008,0.09452960743,0.08948323249,0.06342008275,0.02773365947,0.000935712638,0.00028222031,0.000307800987,0.4050216755,0.01062776345,0.04321368966,0.004388296752,0.001306741165,0.0330882624,0.02287708509,7.27361e-06,0.0110319812,0.01603860139,3.2577115e-05,7.8358182e-05,0.003058343141,65.2569
"SH48",12.93,1.51987,5.78,7.2047,17308.3,0.0744021,0.001172115418,0.165095791,0.000239647388,0.007066243545,0.000249677608,0.01544778201,0.03430961855,0.004350225927,0.009580252067,0.000885373667,0.000156838342,2.4340017e-05,0.08072546231,0.002152006114,0.07538892597,0.000705346026,0.001236441798,0.08377020213,0.006604815827,7.83998e-07,0.002736437203,0.001915472112,2.073676e-06,9.374216e-06,0.01187449413,67.8362
"SA37",13.34,0.971729,6.6,4.8281,8345.65999999999,0.0908136,0.002584847867,0.09630851691,0.000353925146,0.0189151634,0.000356080385,0.02940948166,0.01095730859,0.02711185384,0.008525044139,0.001262685101,0.000160786231,3.4712775e-05,0.1257449277,0.003069106478,0.1385436946,0.001164936071,0.001763364662,0.008943071358,0.004263156007,1.118107e-06,0.003110483564,0.002731770989,2.0651456e-05,1.3369138e-05,0.001387645195,65.5432
"SH30",13.6,4.02894,9.75,3.6649,17620.7,0.106942985745957,0.001378249339,0.0828228588,0.000688779117,0.01432214117,0.000583865456,0.01504214966,0.01843039609,0.01364193769,0.01466064045,0.00101785761,0.000173494685,9.3719656e-05,0.1876738334,0.002474024112,0.0881946204,0.001919214127,0.00142145824,0.007209060464,0.003436554198,9.01312e-07,0.003643724464,0.005315853359,3.4594503e-05,1.0776938e-05,0.002045616248,64.4647
